id,type,bytes,filename,sha256,relpath,validation_ok
982,application/pdf,717475,O-RAN.WG10.TS.O1NRM.0-R004-v04.00.pdf,e60c5088ffb92a193dd216acb73519b5b726f8973e93a0f553446c7fb3120c51,downloads/O-RAN.WG10.TS.O1NRM.0-R004-v04.00.pdf,True
983,application/x-zip-compressed,22830,O-RAN.WG10.TS.O1NRM.1-R004-v04.00.zip,6ce000d38a5293d8f235faf59d158be087523c47004f8270171bb10397e02151,downloads/O-RAN.WG10.TS.O1NRM.1-R004-v04.00.zip,True
984,application/pdf,3298435,O-RAN.WG10.TS.O1PMeas-R004-v04.00.pdf,079013c6abb96c7aa5ec79dda8cdf20eb149b8a6b121c75e5ec3f47f82a736b2,downloads/O-RAN.WG10.TS.O1PMeas-R004-v04.00.pdf,True
985,application/pdf,786665,O-RAN.WG10.TR.Cloud-Native-OAM.0-R004-v01.00.pdf,e9a74c0cd2a1b3d283d0767c55bfe0207049536c93529fc88cabee74dfd9c992,downloads/O-RAN.WG10.TR.Cloud-Native-OAM.0-R004-v01.00.pdf,True
986,application/pdf,1260045,O-RAN.WG10.TS.TE_IV-CIMI.0-R004-v05.00.pdf,20d83ec62e80fafa43b880936b2d79dd6179e74286df9494863d1be12e5b02ca,downloads/O-RAN.WG10.TS.TE_IV-CIMI.0-R004-v05.00.pdf,True
987,application/pdf,450205,O-RAN.WG10.TS.TE_IV-DM.0-R004-v03.00.pdf,23c87781e31c35daf79cbaf72e60a6b33952d706d5187d00edf67a0eaccc1af1,downloads/O-RAN.WG10.TS.TE_IV-DM.0-R004-v03.00.pdf,True
988,application/pdf,1051812,O-RAN.WG10.TS.TE_IV-API.0-R004-v03.00.pdf,b79b8a0b6aa8caa06e955f77daac45db26f4640f57fe326044db5d54e9f45624,downloads/O-RAN.WG10.TS.TE_IV-API.0-R004-v03.00.pdf,True
989,application/pdf,1513385,O-RAN.WG10.TE_IV-UCR.0-R004-v03.01.pdf,f4ae3fb8bfccd3f81ca50ec7c149b5c1c9ec2efb027ffaa012fc1109dae02e37,downloads/O-RAN.WG10.TE_IV-UCR.0-R004-v03.01.pdf,True
990,application/pdf,1497263,O-RAN.WG10.TS.OnboardingSMOSGAP.0-R004-v02.00.pdf,94d382ff09257c625cd20eaa0651084e4f0d0d8921e1e0793325881af1c9dcaf,downloads/O-RAN.WG10.TS.OnboardingSMOSGAP.0-R004-v02.00.pdf,True
991,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1369189,O-RAN.WG11.TS.SRCS.0-R004-v13.00.docx,5c7d52ba56eb7fd28ab50b3cb07dce6e517a59d06f77ce61895b5cfbfbfcc11e,downloads/O-RAN.WG11.TS.SRCS.0-R004-v13.00.docx,True
992,application/vnd.openxmlformats-officedocument.wordprocessingml.document,230782,O-RAN.WG11.TS.SecProtSpec.0-R004-v13.00.docx,2d4e6f0215cac69b0a43cd9ea0e78936998c97f1e338f64c7720e2d7c471c651,downloads/O-RAN.WG11.TS.SecProtSpec.0-R004-v13.00.docx,True
993,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3228949,O-RAN.WG11.TS.STS-R004-v11.00.docx,7a12837178228de65e1f44c00ac128f1c25745bcea23095173c0c0e7c5f995ac,downloads/O-RAN.WG11.TS.STS-R004-v11.00.docx,True
